Ref,Val,Package,PosX,PosY,Rot,Side
"D390","BAT54WS PTT/suspend mute OR","D_SOD-323",159.050000,-90.850000,180.000000,top
"D391","BAT54WS PTT/suspend mute OR","D_SOD-323",162.350000,-90.850000,0.000000,top
"D392","BAT54WS PTT/suspend mute OR","D_SOD-323",159.050000,-88.900000,180.000000,top
"D393","BAT54WS PTT/suspend mute OR","D_SOD-323",162.350000,-88.900000,0.000000,top
"FL240","Mini-Circuits LFCN-160+ 2m/VHF LPF","Filter_Mini-Circuits_FV1206",162.400000,-119.172500,0.000000,top
"FL250","Mini-Circuits ULP-470+ 70cm/UHF LPF","MiniCircuits_QA2224_PL484",152.410000,-117.780000,180.000000,top
"J42","GNSS passive antenna U.FL","U.FL_Hirose_U.FL-R-SMT-1_Vertical",152.350000,-110.250000,-90.000000,top
"J70","DRA818V 2m FM module","DRA818_Castellated",191.200000,-100.300000,180.000000,top
"J71","DRA818U 70cm FM module","DRA818_Castellated",109.150000,-100.300000,0.000000,top
"J240","2m/VHF internal/PCB antenna feed U.FL","U.FL_Hirose_U.FL-R-SMT-1_Vertical",157.900000,-116.250000,180.000000,top
"J241","2m/VHF rear external SMA/u.FL path","SMA_Molex_73251-1153_EdgeMount_Horizontal",187.037500,-120.160000,90.000000,top
"J250","70cm/UHF internal/PCB antenna feed U.FL","U.FL_Hirose_U.FL-R-SMT-1_Vertical",131.625000,-116.650000,180.000000,top
"J251","70cm/UHF rear external SMA/u.FL path","SMA_Molex_73251-1153_EdgeMount_Horizontal",117.257500,-120.160000,90.000000,top
"L70","3.3uH 20% 6.0A Isat20","Coilcraft_XGL5030",144.900000,-116.000000,0.000000,top
"Q330","2N7002KT1G VHF PTT/suspend fail-mute shunt","SOT-23",169.250000,-102.800000,-90.000000,top
"Q331","2N7002KT1G UHF PTT/suspend fail-mute shunt","SOT-23",99.962500,-112.750000,180.000000,top
"Q332","BSS84LT1G codec-loss force-mute","SOT-23",165.950000,-91.200000,180.000000,top
"R40","100k GNSS local reset pull-up","R_0603_1608Metric",141.850000,-96.600000,180.000000,top
"R41","100R GNSS output series","R_0603_1608Metric",141.900000,-104.850000,0.000000,top
"R42","100R GNSS output series","R_0603_1608Metric",141.875000,-103.350000,0.000000,top
"R220","100k radio rail enable","R_0603_1608Metric",137.200000,-109.350000,0.000000,top
"R221","100k 1% 4.0V FB hi","R_0603_1608Metric",139.450000,-110.100000,90.000000,top
"R222","17.4k 1% 4.0V FB lo","R_0603_1608Metric",146.000000,-109.950000,180.000000,top
"R225","100k VHF default sleep","R_0603_1608Metric",190.200000,-115.250000,0.000000,top
"R226","100k UHF default sleep","R_0603_1608Metric",106.950000,-116.550000,0.000000,top
"R227","47k 1% VHF antenna select default internal; PE42820 control divider low","R_0603_1608Metric",163.550000,-111.250000,180.000000,top
"R228","47k 1% UHF antenna select default internal; PE42820 control divider low","R_0603_1608Metric",156.450000,-105.600000,180.000000,top
"R229","0R VHF H/L LOW POWER - FIT","R_0603_1608Metric",177.300000,-111.750000,180.000000,top
"R230","100k VHF RF-select EC reset default internal","R_0603_1608Metric",155.250000,-112.950000,180.000000,top
"R231","0R UHF H/L LOW POWER - FIT","R_0603_1608Metric",121.700000,-88.850000,180.000000,top
"R232","100k UHF RF-select EC reset default internal","R_0603_1608Metric",159.450000,-104.150000,180.000000,top
"R233","1k VHF AF out","R_0603_1608Metric",194.550000,-111.750000,180.000000,top
"R234","1k UHF AF out","R_0603_1608Metric",104.550000,-88.850000,180.000000,top
"R235","10k VHF local PTT inactive","R_0603_1608Metric",186.000000,-111.750000,180.000000,top
"R236","10k UHF local PTT inactive","R_0603_1608Metric",111.550000,-88.850000,180.000000,top
"R237","10k VHF local sleep","R_0603_1608Metric",181.400000,-111.750000,180.000000,top
"R238","10k UHF local sleep","R_0603_1608Metric",110.275000,-87.350000,180.000000,top
"R242","10k 1% VHF PE42820 control divider top","R_0603_1608Metric",162.000000,-112.750000,0.000000,top
"R243","100R VHF translated TXD series","R_0603_1608Metric",129.700000,-91.550000,0.000000,top
"R260","10k 1% UHF PE42820 control divider top","R_0603_1608Metric",159.450000,-105.650000,180.000000,top
"R261","100R UHF translated TXD series","R_0603_1608Metric",99.650000,-119.400000,180.000000,top
"R330","22R USB DP series","R_0603_1608Metric",151.100000,-93.000000,0.000000,top
"R331","22R USB DM series","R_0603_1608Metric",151.100000,-94.500000,0.000000,top
"R334","82k 1% VHF mic attenuator series","R_0603_1608Metric",166.600000,-107.300000,0.000000,top
"R335","82k 1% UHF mic attenuator series","R_0603_1608Metric",150.050000,-103.550000,180.000000,top
"R336","1k 1% VHF mic attenuator shunt","R_0603_1608Metric",169.200000,-107.600000,-90.000000,top
"R337","2.2R PCM2902C VBUS filter","R_0603_1608Metric",151.100000,-96.000000,0.000000,top
"R338","1.5k USB D+ pull-up per TI Figure 39","R_0603_1608Metric",151.100000,-97.450000,180.000000,top
"R340","1M crystal feedback","R_0603_1608Metric",169.300000,-95.900000,0.000000,top
"R341","1k 1% UHF mic attenuator shunt","R_0603_1608Metric",94.900000,-111.800000,180.000000,top
"R342","100k SSPND fail-low pull-down","R_0603_1608Metric",163.500000,-92.800000,0.000000,top
"R343","100k force-mute pull-down","R_0603_1608Metric",168.800000,-91.150000,-90.000000,top
"R344","100k VHF mute-gate pull-down","R_0603_1608Metric",152.275000,-91.250000,180.000000,top
"R345","100k UHF mute-gate pull-down","R_0603_1608Metric",154.950000,-88.800000,180.000000,top
"U1","AP2112K-3.3 600mA daughterboard logic LDO","SOT-23-5",157.812500,-120.850000,-90.000000,top
"U40","MAX-M10S GNSS","ublox_MAX",134.450000,-101.200000,180.000000,top
"U41","SN74LVC3G34 GNSS input isolation","VSSOP-8_2.3x2mm_P0.5mm",145.100000,-102.600000,-90.000000,top
"U70","TPS54302 RADIO_DB_5V -> RADIO_4V0","SOT-23-6",142.262500,-109.850000,180.000000,top
"U240","PE42820B-X 2m/VHF 43dBm-CW RF switch","PE42820_QFN-32-1EP_5x5mm_P0.5mm",166.480000,-115.000000,180.000000,top
"U241","SN74LVC1G373DCKR VHF transmit-safe RF-select latch","SOT-363_SC-70-6",159.050000,-112.615000,0.000000,top
"U242","SN74LVC3G34DCUR VHF fail-safe control buffer","VSSOP-8_2.3x2mm_P0.5mm",186.400000,-114.900000,180.000000,top
"U243","SN74LVC1T45 VHF TXD 4V-to-3V3 translator","SOT-23-6",130.250000,-94.012500,180.000000,top
"U250","PE42820B-X 70cm/UHF 43dBm-CW RF switch","PE42820_QFN-32-1EP_5x5mm_P0.5mm",138.707500,-114.600000,180.000000,top
"U251","SN74LVC1G373DCKR UHF transmit-safe RF-select latch","SOT-363_SC-70-6",163.850000,-109.012500,-90.000000,top
"U252","SN74LVC3G34DCUR UHF fail-safe control buffer","VSSOP-8_2.3x2mm_P0.5mm",103.150000,-117.250000,180.000000,top
"U253","SN74LVC1T45 UHF TXD 4V-to-3V3 translator","SOT-23-6",103.250000,-120.612500,180.000000,top
"U260","SN74LVC2G04DCKR PTT request inverter","SOT-363_SC-70-6",159.200000,-107.615000,180.000000,top
"U261","SN74LVC2G32DCUR dual-radio PTT interlock","VSSOP-8_2.3x2mm_P0.5mm",159.150000,-109.967500,180.000000,top
"U330","PCM2902CDBR USB audio codec","SSOP-28_5.3x10.2mm_P0.65mm",157.300000,-97.700000,0.000000,top
"Y330","ABM8G-106-12.000MHZ-T 12MHz 10pF CL","Crystal_SMD_3225-4Pin_3.2x2.5mm",169.350000,-98.750000,-90.000000,top
